ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y
1,1,5968.558769,18.91938462
1,2,6013.440415,34.39119171
1,3,5580.972285,27.20599251
1,4,9638.82942,50.58494475
1,5,5657.819085,67.12624254
1,6,5975.11535,65.40106477
1,7,9816.44,92.41244444
1,8,5642.393912,89.95792301
1,9,5588.060698,89.06980273
1,10,6138.655556,100.3333333
1,11,5623.857889,112.2267503
1,12,6046.547748,129.0855856
1,13,5638.816357,139.3405204
1,14,9648.853426,142.9731136
1,15,5541.496469,140.7676554
1,16,6082.083513,141.049676
1,17,6132.409639,163.0722892
1,18,5589.052189,170.25
1,19,5632.3,172.2918919
1,20,9239.097826,183.6548913
1,21,5659.467577,184.0534699
1,22,5571.237113,198.1912944
1,23,5525.506829,197.9787557
1,24,6213.137434,199.4464692
1,25,5627.381132,206.8100629
1,26,5590.216759,222.0616343
1,27,5687.258594,214.428125
1,28,6459.5,218.7727273
1,29,6303.857398,231.1452763
1,30,8110.473731,233.220837
1,31,7795.139932,239.6245734
1,32,5686.491616,252.8504359
1,33,6331.878236,246.7142857
1,34,5566.073067,253.5327103
1,35,6818.132075,265.379717
1,36,3637,276.3368421
1,37,5620.010801,275.7893789
1,38,8249.38914,278.760181
1,39,6407.914992,285.6939722
1,40,5657.467366,279.3123543
1,41,5593.964158,310.3082437
1,42,5721.564706,308.4930481
1,43,6408.050895,309.8803016
1,44,5519.890625,299.4762228
1,45,6305.239013,313.884407
1,46,5652.934805,323.2723449
1,47,5687.446288,325.8041074
1,48,5556.611217,337.8250951
1,49,6442.785814,329.8671766
1,50,5601.454187,340.31133
1,51,6468.093536,353.3102662
1,52,5681.241692,359.490433
1,53,3454.363636,366.5110193
1,54,5724.026999,386.6926272
1,55,5432.797693,377.4143744
1,56,6580.487205,377.6742126
1,57,5553.046771,384.873608
1,58,6611.02521,384.110084
1,59,9370.049832,396.230303
1,60,9292.779292,386.5967302
1,61,3459.799342,389.0805921
1,62,5674.643438,390.9349594
1,63,9457.884685,400.1243243
1,64,9188.631057,394.7588106
1,65,5609.56294,407.3674746
1,66,9328.082808,408.6119874
1,67,6530.96197,394.3715711
1,68,6734.474109,402.0349697
1,69,5468.495105,416.1776224
1,70,9539.065394,420.2118056
1,71,5755.306297,412.2369264
1,72,5686.268085,418.2198582
1,73,9210.665385,418.3858974
1,74,5430.639456,435.1095994
1,75,5717.233054,423.3983244
1,76,9402.728896,426.2018398
1,77,6627.642577,446.7871148
1,78,9241.543726,435.0323194
1,79,9443.42797,440.1600674
1,80,5478.289444,438.5175936
1,81,9288.996879,438.7852684
1,82,5624.859522,438.4561912
1,83,9488.29304,433.1768707
1,84,9332.672179,442.6079767
1,85,9369.536481,443.7889843
1,86,5690.965974,450.573724
1,87,5591.357216,439.6878199
1,88,9213.06437,450.057117
1,89,5753.709001,452.0468557
1,90,5512.03271,459.4345794
1,91,5467.768496,464.690533
1,92,9257.240788,459.8371894
1,93,6680.005186,463.0388937
1,94,9419.369156,468.2094718
1,95,9162.692525,472.3018336
1,96,9493.215278,470.3263889
1,97,5554.893067,477.5440658
1,98,9215.511612,481.4398311
